Name,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto
MOB_12_4,mini_1srh_model0_chainB_MOB_resi300__chainA_altB_1,1.001,0.747,0.254
14A_21_120,mini_1t4v_model0_chainH_14A_resi1411__chainH_1,0.839,0.693,0.147
14A_27_36,mini_1t4v_model0_chainH_14A_resi1411__chainH_1,0.837,0.689,0.148
14A_9_126,mini_1t4v_model0_chainH_14A_resi1411__chainH_1,0.836,0.682,0.154
1SM_5_12,mini_1t9c_model0_chainA_1SM_resi695__chainA_altA_chainB_altB_1,1.001,0.65,0.35
1SM_19_72,mini_1t9c_model0_chainA_1SM_resi695__chainA_altA_chainB_altB_1,0.988,0.705,0.283
1SM_27_149,mini_1t9c_model0_chainA_1SM_resi695__chainA_altA_chainB_altB_1,0.956,0.682,0.273
B1V_18_274,mini_1tou_model0_chainA_B1V_resi501__chainA_1,1.246,0.881,0.364
B1V_22_55,mini_1tou_model0_chainA_B1V_resi501__chainA_1,1.058,0.704,0.355
B1V_21_244,mini_1tou_model0_chainA_B1V_resi501__chainA_1,1.034,0.709,0.326
FRZ_24_78,mini_1tvo_model0_chainA_FRZ_resi1001__chainA_1,0.959,0.683,0.276
FRZ_32_6,mini_1tvo_model0_chainA_FRZ_resi1001__chainA_1,0.943,0.72,0.223
FRZ_4_18,mini_1tvo_model0_chainA_FRZ_resi1001__chainA_1,0.936,0.638,0.298
BBB_26_6,mini_1u1g_model0_chainB_BBB_resi4300__chainB_1,0.836,0.55,0.287
BBB_3_71,mini_1u1g_model0_chainB_BBB_resi4300__chainB_1,0.819,0.543,0.275
